album_name,song_name
Iron Maiden,Prowler
Iron Maiden,Remember Tomorrow
Iron Maiden,Running Free
Iron Maiden,Phantom of the Opera
Iron Maiden,Transylvania
Iron Maiden,Strange World
Iron Maiden,Charlotte the Harlot
Iron Maiden,Iron Maiden
Powerslave,Aces High
Powerslave,2 Minutes to Midnight
Powerslave,Losfer Words (Big ’Orra)
Powerslave,Flash of the Blade
Powerslave,The Duellists
Powerslave,Back in the Village
Powerslave,Powerslave
Powerslave,Rime of the Ancient Mariner
Somewhere in Time,Caught Somewhere in Time
Somewhere in Time,Wasted Years
Somewhere in Time,Sea of Madness
Somewhere in Time,Heaven Can Wait
Somewhere in Time,The Loneliness of the Long Distance Runner
Somewhere in Time,Stranger in a Strange Land
Somewhere in Time,Deja-Vu
Somewhere in Time,Alexander the Great
Killers,The Ides of March
Killers,Wrathchild
Killers,Murders in the Rue Morgue
Killers,Another Life
Killers,Genghis Khan
Killers,Innocent Exile
Killers,Killers
Killers,Twilight Zone
Killers,Prodigal Son
Killers,Purgatory
Killers,Drifter
Piece of Mind,Where Eagles Dare
Piece of Mind,Revelations
Piece of Mind,Flight of Icarus
Piece of Mind,Die With Your Boots On
Piece of Mind,The Trooper
Piece of Mind,Still Life
Piece of Mind,Quest for Fire
Piece of Mind,Sun and Steel
Piece of Mind,To Tame a Land
Powerslave,Losfer Words (Big 'Orra)
Killers,Murder in the Rue Morgue
Killers,Details of Twilight Zone
Piece of Mind,Cross‐Eyed Mary
Killers,The Ides Of March
Killers,Murders In The Rue Morgue
Somewhere in Time,私の履歴書
Somewhere in Time,ストレンジャー・イン・ア・ストレンジ・ランド」を語る
Somewhere in Time,私のオフ・タイム
Somewhere in Time,ストレンジャー・イン・ア・ストレンジ・ランド」「ウエイステッド・イヤーズ」を語る
Somewhere in Time,ヘヴン・カン・ウエイト」「デジャ・ヴ」を語る
Somewhere in Time,「アレクザンダ・ザ・グレイト」「デジャ・ヴ」を語る
Somewhere in Time,「サムホエア・イン・タイム」「長距離ランナの孤独」を語る
Iron Maiden,Sanctuary
Piece of Mind,Phatoor
Piece of Mind,Dune
Somewhere in Time,Deja‐Vu
Fear of the Dark,Be Quick or Be Dead
Fear of the Dark,From Here to Eternity
Fear of the Dark,Afraid to Shoot Strangers
Fear of the Dark,Fear Is the Key
Fear of the Dark,Childhood’s End
Fear of the Dark,Wasting Love
Fear of the Dark,The Fugitive
Fear of the Dark,Chains of Misery
Fear of the Dark,The Apparition
Fear of the Dark,Judas Be My Guide
Fear of the Dark,Weekend Warrior
Fear of the Dark,Fear of the Dark
No Prayer for the Dying,Tailgunner
No Prayer for the Dying,Holy Smoke
No Prayer for the Dying,No Prayer for the Dying
No Prayer for the Dying,Public Enema Number One
No Prayer for the Dying,Fates Warning
No Prayer for the Dying,The Assassin
No Prayer for the Dying,Run Silent Run Deep
No Prayer for the Dying,Hooks in You
No Prayer for the Dying,Bring Your Daughter… to the Slaughter
No Prayer for the Dying,Mother Russia
Powerslave,Rainbow's Gold
Powerslave,Mission From 'Arry
Powerslave,King of Twilight
Powerslave,The Number of the Beast (live)
Seventh Son of a Seventh Son,Moonchild
Seventh Son of a Seventh Son,Infinite Dreams
Seventh Son of a Seventh Son,Can I Play With Madness
