concert_id,venue_id,city_id,date,tour
4bab839e,4bd0bfb2,5419384,19-10-2024,The Future Past
5bab8398,4bd637be,5780993,18-10-2024,The Future Past
4bab839a,5bd61f78,5812944,16-10-2024,The Future Past
53ab83a5,5bd4f7c4,5746545,14-10-2024,The Future Past
bab8146,5bd6c3c8,5389489,12-10-2024,The Future Past
4bab83a2,3bd0f878,5308655,09-10-2024,The Future Past
43ab83af,2bd02c76,5359488,08-10-2024,The Future Past
43ab83ab,3bd0a0f0,5506956,05-10-2024,The Future Past
5bab83b0,23d3a4fb,5336899,04-10-2024,The Future Past
1babe978,33d34031,1848354,29-09-2024,The Future Past
babe97a,33d34031,1848354,28-09-2024,The Future Past
7babee84,13d341c1,1850147,26-09-2024,The Future Past
6babee86,53d23799,1853909,24-09-2024,The Future Past
73abee81,23d1707f,1849814,22-09-2024,The Future Past
4bab83be,6bd55ad6,2193733,16-09-2024,The Future Past
5bab83b8,13d5c951,2147714,13-09-2024,The Future Past
4bab83ba,13d5c951,2147714,12-09-2024,The Future Past
5bab83c4,5bd61fe4,2174003,10-09-2024,The Future Past
4bab83c6,bd6cdfe,2158177,07-09-2024,The Future Past
53ab83c1,bd6cdfe,2158177,06-09-2024,The Future Past
43ab83cf,1bd62500,2078025,04-09-2024,The Future Past
43ab83cb,3d20d13,2063523,01-09-2024,The Future Past
6b536e06,3d36133,2667847,13-11-2023,The Future Past
5ba32b18,13d39d15,5359446,06-10-2023,The Future Past
53a3c79d,33d65801,6173331,02-10-2023,The Future Past
63a3eedf,bd519aa,5946768,30-09-2023,The Future Past
3a38123,13d7a181,5913490,28-09-2023,The Future Past
2ba4203e,7bd21a2c,2815623,04-08-2023,The Future Past
13a43d3d,2bd6cc7a,2867714,01-08-2023,The Future Past
3ba4c8c4,2bd6cc7a,2867714,31-07-2023,The Future Past
2ba4e00a,7bd63ab0,2925533,29-07-2023,The Future Past
2ba48036,73d61e71,2935517,26-07-2023,The Future Past
6ba48e96,73d61e71,2935517,25-07-2023,The Future Past
7ba4aeb8,73d00689,3109453,22-07-2023,The Future Past
3ba74018,1bd001c0,2519438,20-07-2023,The Future Past
3ba75804,63d6367b,3128760,18-07-2023,The Future Past
33a77c95,23d46ca3,3173435,15-07-2023,The Future Past
3ba710bc,13d2c599,2791301,13-07-2023,The Future Past
1ba72500,53d7378d,2759794,11-07-2023,The Future Past
3ba7c804,73d466b5,2643743,08-07-2023,The Future Past
5ba7d750,73d466b5,2643743,07-07-2023,The Future Past
6ba7f61a,13d36109,2655603,04-07-2023,The Future Past
6ba7fe72,1bd5e1d0,2641170,03-07-2023,The Future Past
3ba79c40,4bd35b96,2643123,30-06-2023,The Future Past
7ba7b600,33d49495,2644689,28-06-2023,The Future Past
1ba64998,63d0eacb,2648579,26-06-2023,The Future Past
7ba666dc,23d4082f,2964574,24-06-2023,The Future Past
13a67df5,7bd02678,2910831,21-06-2023,The Future Past
3a6117b,5bd62368,2657896,19-06-2023,The Future Past
2ba62cbe,73d61edd,3024578,17-06-2023,The Future Past
ba6c572,73d1c249,3094802,14-06-2023,The Future Past
23a6d04b,73d1c249,3094802,13-06-2023,The Future Past
2ba6e406,63d3c623,2879139,11-06-2023,The Future Past
53a683dd,43d63fdb,2689246,09-06-2023,The Future Past
7ba69684,7bd61e54,3161732,07-06-2023,The Future Past
13a6b149,1bd0d104,634963,04-06-2023,The Future Past
3ba6bc98,1bd0d104,634963,03-06-2023,The Future Past
33b95881,6bd0765e,3067696,31-05-2023,The Future Past
3bb95c70,6bd0765e,3067696,30-05-2023,The Future Past
33b97885,23d074f7,3196359,28-05-2023,The Future Past
23be88f3,3bd40404,4174757,27-10-2022,Legacy of the Beast
33be9c0d,4bd6cfb6,4469146,25-10-2022,Legacy of the Beast
2bbeb026,3bd2b05c,4140963,23-10-2022,Legacy of the Beast
bb145a2,23d63823,5101798,21-10-2022,Legacy of the Beast
4bb15b96,7bd0da88,5116508,19-10-2022,Legacy of the Beast
4bb16fae,13d63961,4956184,17-10-2022,Legacy of the Beast
63b102ab,33d37431,6094817,15-10-2022,Legacy of the Beast
5bb11b6c,5bd4cbd4,5969785,12-10-2022,Legacy of the Beast
13b12105,2bd230ca,6167865,11-10-2022,Legacy of the Beast
63b13aef,13d55569,4990729,09-10-2022,Legacy of the Beast
3bb1c838,1bd63994,4509177,07-10-2022,Legacy of the Beast
3b1dde3,63d0f2d3,4887398,05-10-2022,Legacy of the Beast
53b1f301,73d406f1,5231851,03-10-2022,Legacy of the Beast
43b18bd7,4bd6c37a,5811696,30-09-2022,Legacy of the Beast
5bb197e0,63d0ea07,5809844,29-09-2022,Legacy of the Beast
53b1b351,23d62007,5339111,27-09-2022,Legacy of the Beast
63b04a87,23d3a4fb,5336899,25-09-2022,Legacy of the Beast
7bb06ef0,5bd637a8,5323810,22-09-2022,Legacy of the Beast
4bb077fa,5bd637a8,5323810,21-09-2022,Legacy of the Beast
43b00783,53d62719,5784607,19-09-2022,Legacy of the Beast
5bb00ff8,4bd0bfb2,5419384,17-09-2022,Legacy of the Beast
53b02ba1,4bd62312,4553433,15-09-2022,Legacy of the Beast
23b03cfb,3bd02c30,4671654,13-09-2022,Legacy of the Beast
1bb0c9c4,3bd618f0,5520993,11-09-2022,Legacy of the Beast
13b0fd5d,53d63be5,3530597,07-09-2022,Legacy of the Beast
bb0859a,1bd63db4,3448439,04-09-2022,Legacy of the Beast
13b0ad9d,7bd50ad4,3451190,02-09-2022,Legacy of the Beast
23b0bc4b,1bd30960,3451328,30-08-2022,Legacy of the Beast
13b3651d,7bd62ea8,3464975,27-08-2022,Legacy of the Beast
6bb212ca,3d071bb,2265464,31-07-2022,Legacy of the Beast
43b22b27,5bd4b3cc,3128760,29-07-2022,Legacy of the Beast
13b2c169,3d021bb,2925533,26-07-2022,Legacy of the Beast
23b2d4ff,63d52a5f,756135,24-07-2022,Legacy of the Beast
63b2ee27,3bd61c34,2711537,22-07-2022,Legacy of the Beast
73b286fd,13d48951,2944388,20-07-2022,Legacy of the Beast
33b2b0e5,6bd49ada,264371,16-07-2022,Legacy of the Beast
