venue_id,city_id,venue
63d5866f,6325494,Centre Vidéotron
2bd230ca,6167865,Scotiabank Arena
73d6ca11,4908179,Allstate Arena
53d637ad,5045360,Xcel Energy Center
4bd0bfb2,5419384,Ball Arena
4bd637be,5780993,Delta Center
5bd61f78,5812944,Tacoma Dome
5bd4f7c4,5746545,Moda Center
5bd6c3c8,5389489,Discovery Park
3bd0f878,5308655,Footprint Center
2bd02c76,5359488,Kia Forum
3bd0a0f0,5506956,Michelob ULTRA Arena
23d3a4fb,5336899,North Island Credit Union Amphitheatre
33d34031,1848354,PIA ARENA MM
13d341c1,1850147,TOKYO GARDEN THEATER
53d23799,1853909,Osaka-jou Hall
23d1707f,1849814,Sky Hall Toyota
6bd55ad6,2193733,Spark Arena
13d5c951,2147714,Qudos Bank Arena
5bd61fe4,2174003,Brisbane Entertainment Centre
bd6cdfe,2158177,Rod Laver Arena
1bd62500,2078025,Adelaide Entertainment Centre
3d20d13,2063523,RAC Arena
13d39d15,5359446,Empire Polo Club
33d65801,6173331,Rogers Arena
bd519aa,5946768,Rogers Place
13d7a181,5913490,Scotiabank Saddledome
7bd21a2c,2815623,Hauptstrasse
2bd6cc7a,2867714,Olympiahalle
7bd63ab0,2925533,Festhalle
73d61e71,2935517,Westfalenhalle
73d00689,3109453,Bizkaia Arena
1bd001c0,2519438,Estadio Enrique Roca de Murcia
63d6367b,3128760,Palau Sant Jordi
23d46ca3,3173435,Ippodromo del Galoppo di San Siro
13d2c599,2791301,Sportpaleis
53d7378d,2759794,Ziggo Dome
73d466b5,2643743,The O2 Arena
13d36109,2655603,Utilita Arena Birmingham
1bd5e1d0,2641170,Motorpoint Arena
4bd35b96,2643123,AO Arena
33d49495,2644689,First Direct Arena
63d0eacb,2648579,The OVO Hydro
23d4082f,2964574,3Arena
7bd02678,2910831,ZAG-Arena
5bd62368,2657896,Hallenstadion
73d61edd,3024578,Val de Moine
73d1c249,3094802,TAURON Arena Kraków
63d3c623,2879139,QUARTERBACK Immobilien ARENA
43d63fdb,2689246,Norje Havsbad
7bd61e54,3161732,Koengen
1bd0d104,634963,Nokia Arena
6bd0765e,3067696,O2 arena
23d074f7,3196359,Arena Stožice
3bd40404,4174757,Amalie Arena
4bd6cfb6,4469146,Greensboro Coliseum
3bd2b05c,4140963,Capital One Arena
23d63823,5101798,Prudential Center
7bd0da88,5116508,UBS Arena
13d63961,4956184,DCU Center
33d37431,6094817,Canadian Tire Centre
5bd4cbd4,5969785,FirstOntario Centre
13d55569,4990729,Little Caesars Arena
1bd63994,4509177,Nationwide Arena
63d0f2d3,4887398,United Center
73d406f1,5231851,Denny Sanford Premier Center
4bd6c37a,5811696,Spokane Arena
63d0ea07,5809844,Climate Pledge Arena
23d62007,5339111,Concord Pavilion
5bd637a8,5323810,Honda Center
53d62719,5784607,USANA Amphitheatre
4bd62312,4553433,BOK Center
3bd02c30,4671654,Moody Center
3bd618f0,5520993,Don Haskins Center
53d63be5,3530597,Foro Sol
1bd63db4,3448439,Estádio do Morumbi
7bd50ad4,3451190,Parque Olímpico
1bd30960,3451328,Arena Eurobike
7bd62ea8,3464975,Pedreira Paulo Leminski
3d071bb,2265464,Estádio Nacional do Jamor
5bd4b3cc,3128760,Estadi Olímpic Lluís Companys
3d021bb,2925533,Deutsche Bank Park
63d52a5f,756135,PGE Narodowy
3bd61c34,2711537,Ullevi Stadium
13d48951,2944388,Bürgerweide
6bd49ada,264371,Olympic Stadium
63d49a07,727011,Arena Armeec
63d00eb7,2761353,Stadion
63d63e1f,2825297,Cannstatter Wasen
5bd61fb0,2950159,Waldbühne
13d7f5d5,2886242,RheinEnergieStadion
53d62721,2759661,Gelredome
1bd265e0,2990970,Paris La Défense Arena
73d392b1,6942479,Ekebergsletta
4bd397ba,3067696,Sinobo Stadium
13d7fd41,2618425,Refshaleøen
3bd1f444,2799511,Festivalterrein Stenehei
63d6ce7f,2655984,Ormeau Park
33d6c8cd,2653591,Donington Park
3d5e957,3054638,Groupama Aréna
3bd23c8c,656913,Hyvinkään lentokenttä
4bd7778a,456172,Arēna Rīga
6bd7d6d2,598316,Žalgiris Arena
5bd62f98,683506,Romexpo
4bd267fa,792680,Štark Arena
33d508b9,3186886,Arena Zagreb
63d622c3,3871336,Estadio Nacional
73d62229,3871336,Movistar Arena
1bd609fc,3435910,Estadio Vélez Sarsfield
1bd75560,3452925,Arena do Grêmio
bd635a6,3530597,Palacio de los Deportes
4bd62332,4726206,AT&T Center
3bd63cf4,4736476,Cynthia Woods Mitchell Pavilion
73d2c6e5,4684888,Dos Equis Pavilion
1bd1d5c0,5454711,Isleta Amphitheater
4bd5a3c6,5308655,Talking Stick Resort Arena
53d23f6d,5368361,Banc of California Stadium
5bd6378c,5506956,MGM Grand Garden Arena
63d6366f,5378538,Oracle Arena
53d5c7d5,5389489,Golden 1 Center
3bd2b890,6183235,Bell MTS Place
bd2c106,4924198,Ruoff Home Mortgage Music Center
bd5a1aa,4913723,Hollywood Casino Amphitheatre
23d6746f,4644585,Bridgestone Arena
73d51671,5206379,PPG Paints Arena
2bd4a04a,4508722,Riverbend Music Center
1bd519cc,5110629,KeyBank Center
23d57453,6167865,Budweiser Stage
6bd6d222,6077243,Centre Bell
13d2f571,4835797,XFINITY Theatre
4bd4e71a,4943021,Xfinity Center
3bd65058,4560349,Wells Fargo Center
2bd77066,5110302,Barclays Center
3d66993,4749007,Jiffy Lube Live
43d4e71b,4460243,PNC Music Pavilion
7bd23ef4,4180439,Cellairis Amphitheatre at Lakewood
6bd772fe,4174403,BB&T Center
13d4690d,2655603,Genting Arena
3d73de3,2643123,Manchester Arena
2bd5dc76,2657832,Aberdeen Exhibition and Conference Centre
73d5a27d,2655984,The SSE Arena Belfast
23d40057,2641673,Metro Radio Arena
2bd540c6,728193,Rowing Canal
4bd4bb8a,257886,Terra Vibe
13d6d191,3165185,Piazza Unità d'Italia
73d04631,3117735,Estadio Metropolitano
3bd28810,2267057,Altice Arena
2bd5f872,2988507,AccorHotels Arena
5bd60ba4,2925177,Neue Messe
1bd7154c,3045190,Lővér Kemping
73d63ab1,2660646,Arena de Genève
53d5abf9,3067696,Letiště Praha Letňany
bd62532,2770630,Pannonia Fields II
5bd5af60,3176959,Visarno Arena Firenze
2bd76cf6,2910831,Expo-Plaza
23d61c33,2867714,Königsplatz
73d512e9,2618425,Royal Arena
13d2c551,3133880,Dahls Arena
3bd49cf8,2673730,Tele2 Arena
63d61e53,658225,Hartwall Areena
2bd63826,588409,Saku Suurhall
7bd4624c,4397340,Hollywood Casino Amphitheatre
5bd61fa0,4393217,Sprint Center
2bd4886e,5072006,Pinnacle Bank Arena
13d5e579,5506956,T-Mobile Arena
bd5412e,5391710,Glen Helen Amphitheater
43d61fa3,4684888,American Airlines Center
4bd61fc6,4699066,Toyota Center
6bd7ca12,4544349,Chesapeake Energy Arena
3bd378a8,2653822,Motorpoint Arena Cardiff
73d476f9,2655603,Barclaycard Arena
7bd63ac8,2644210,Echo Arena
23d40cb3,2657832,AECC GE Oil & Gas Arena
23d4703b,2648579,The SSE Hydro
53d62f09,2638077,Sheffield Arena
bd58552,2911298,Barclaycard Arena
73d61e5d,2860408,König-Pilsener-Arena
43d22f73,6693269,Rockhal Main Hall
3bd0189c,683506,Piața Constituției
7bd66284,3190261,Spaladium Arena
7bd60658,3169070,Ippodromo delle Capannelle
33d7cccd,6534466,Mediolanum Forum di Assago
53d05701,2659422,Plaine de l'Asse
3bd4246c,3109981,Parc de Can Zam
53d01381,2510911,Estadio La Cartuja de Sevilla
73d47e15,3117735,Barclaycard Center
33d4a8c9,2267057,MEO Arena
23d40093,6359224,Campo de fútbol Celeiro
33d5dcd5,3056508,Letisko Žilina
