setlist_id,concert_id,song_name,setlist_position,cover_info,encore,tape
4bab839a_1,4bab839a,Doctor Doctor,1,UFO,False,True
4bab839a_2,4bab839a,Blade Runner (End Titles),2,Vangelis,False,True
4bab839a_3,4bab839a,Caught Somewhere in Time,3,,False,False
4bab839a_4,4bab839a,Stranger in a Strange Land,4,,False,False
4bab839a_5,4bab839a,The Writing on the Wall,5,,False,False
4bab839a_6,4bab839a,Days of Future Past,6,,False,False
4bab839a_7,4bab839a,The Time Machine,7,,False,False
4bab839a_8,4bab839a,The Prisoner,8,,False,False
4bab839a_9,4bab839a,Death of the Celts,9,,False,False
4bab839a_10,4bab839a,Can I Play With Madness,10,,False,False
4bab839a_11,4bab839a,Heaven Can Wait,11,,False,False
4bab839a_12,4bab839a,Alexander the Great,12,,False,False
4bab839a_13,4bab839a,Fear of the Dark,13,,False,False
4bab839a_14,4bab839a,Iron Maiden,14,,False,False
4bab839a_15,4bab839a,Hell on Earth,15,,True,False
4bab839a_16,4bab839a,The Trooper,16,,True,False
4bab839a_17,4bab839a,Wasted Years,17,,True,False
4bab839a_18,4bab839a,Always Look on the Bright Side of Life,18,Monty Python,True,True
53ab83a5_1,53ab83a5,Blade Runner (End Titles),1,Vangelis,False,True
53ab83a5_2,53ab83a5,Caught Somewhere in Time,2,,False,False
53ab83a5_3,53ab83a5,Stranger in a Strange Land,3,,False,False
53ab83a5_4,53ab83a5,The Writing on the Wall,4,,False,False
53ab83a5_5,53ab83a5,Days of Future Past,5,,False,False
53ab83a5_6,53ab83a5,The Time Machine,6,,False,False
53ab83a5_7,53ab83a5,The Prisoner,7,,False,False
53ab83a5_8,53ab83a5,Death of the Celts,8,,False,False
53ab83a5_9,53ab83a5,Can I Play With Madness,9,,False,False
53ab83a5_10,53ab83a5,Heaven Can Wait,10,,False,False
53ab83a5_11,53ab83a5,Alexander the Great,11,,False,False
53ab83a5_12,53ab83a5,Fear of the Dark,12,,False,False
53ab83a5_13,53ab83a5,Iron Maiden,13,,False,False
53ab83a5_14,53ab83a5,Hell on Earth,14,,True,False
53ab83a5_15,53ab83a5,The Trooper,15,,True,False
53ab83a5_16,53ab83a5,Wasted Years,16,,True,False
bab8146_1,bab8146,Doctor Doctor,1,UFO,False,True
bab8146_2,bab8146,Blade Runner (End Titles),2,Vangelis,False,True
bab8146_3,bab8146,Caught Somewhere in Time,3,,False,False
