album_name,song_position,song_name
A Matter of Life and Death,1,Different World
A Matter of Life and Death,2,These Colours Don’t Run
A Matter of Life and Death,2,These Colours Don't Run
A Matter of Life and Death,3,Brighter Than a Thousand Suns
A Matter of Life and Death,4,The Pilgrim
A Matter of Life and Death,5,The Longest Day
A Matter of Life and Death,6,Out of the Shadows
A Matter of Life and Death,7,The Reincarnation of Benjamin Breeg
A Matter of Life and Death,8,For the Greater Good of God
A Matter of Life and Death,9,Lord of Light
A Matter of Life and Death,10,The Legacy
Brave New World,1,The Wicker Man
Brave New World,2,Ghost of the Navigator
Brave New World,3,Brave New World
Brave New World,4,Blood Brothers
Brave New World,5,The Mercenary
Brave New World,6,Dream of Mirrors
Brave New World,7,The Fallen Angel
Brave New World,8,The Nomad
Brave New World,9,Out of the Silent Planet
Brave New World,10,The Thin Line Between Love & Hate
Brave New World,10,The Thin Line Between Love and Hate
Dance of Death,1,Wildest Dreams
Dance of Death,1,New Frontier
Dance of Death,2,Rainmaker
Dance of Death,2,Paschendale
Dance of Death,3,No More Lies
Dance of Death,3,Face in the Sand
Dance of Death,4,Montségur
Dance of Death,4,Age of Innocence
Dance of Death,5,Dance of Death
Dance of Death,5,Journeyman
Dance of Death,6,Gates of Tomorrow
Fear of the Dark,1,Be Quick or Be Dead
Fear of the Dark,1,Nodding Donkey Blues
Fear of the Dark,2,From Here to Eternity
Fear of the Dark,2,Space Station No. 5 / [Bayswater Ain’t a Bad Place to Be]
Fear of the Dark,3,Afraid to Shoot Strangers
Fear of the Dark,3,I Can’t See My Feelings
Fear of the Dark,4,Fear Is the Key
Fear of the Dark,4,Roll Over Vic Vella
Fear of the Dark,5,Childhood’s End
Fear of the Dark,5,Childhood's End
Fear of the Dark,6,Wasting Love
Fear of the Dark,7,The Fugitive
Fear of the Dark,8,Chains of Misery
Fear of the Dark,9,The Apparition
Fear of the Dark,10,Judas Be My Guide
Fear of the Dark,11,Weekend Warrior
Fear of the Dark,12,Fear of the Dark
Iron Maiden,1,Prowler
Iron Maiden,1,Burning Ambition
Iron Maiden,2,Remember Tomorrow
Iron Maiden,3,Running Free
Iron Maiden,4,Phantom of the Opera
Iron Maiden,5,Transylvania
Iron Maiden,6,Strange World
Iron Maiden,7,Charlotte the Harlot
Iron Maiden,7,Sanctuary
Iron Maiden,8,Iron Maiden
Killers,1,The Ides of March
Killers,1,The Ides Of March
Killers,1,Women in Uniform
Killers,2,Wrathchild
Killers,2,Invasion
Killers,3,Murders in the Rue Morgue
Killers,3,Murder in the Rue Morgue
Killers,3,Murders In The Rue Morgue
Killers,4,Another Life
Killers,5,Genghis Khan
Killers,6,Innocent Exile
Killers,7,Killers
Killers,8,Twilight Zone
Killers,9,Prodigal Son
Killers,10,Purgatory
Killers,11,Drifter
Killers,11,Details of Twilight Zone
No Prayer for the Dying,1,Tailgunner
No Prayer for the Dying,1,All in Your Mind
No Prayer for the Dying,1,Tail Gunner
No Prayer for the Dying,2,Holy Smoke
No Prayer for the Dying,2,Kill Me Ce Soir
No Prayer for the Dying,3,No Prayer for the Dying
No Prayer for the Dying,3,I’m a Mover
No Prayer for the Dying,4,Public Enema Number One
No Prayer for the Dying,4,Communication Breakdown
No Prayer for the Dying,5,Fates Warning
No Prayer for the Dying,6,The Assassin
No Prayer for the Dying,7,Run Silent Run Deep
No Prayer for the Dying,8,Hooks in You
No Prayer for the Dying,9,Bring Your Daughter... to the Slaughter
No Prayer for the Dying,9,Bring Your Daughter........to the Slaughter
No Prayer for the Dying,10,Mother Russia
Piece of Mind,1,Where Eagles Dare
Piece of Mind,1,I’ve Got the Fire
Piece of Mind,2,Revelations
Piece of Mind,3,Flight of Icarus
Piece of Mind,4,Die With Your Boots On
Piece of Mind,5,The Trooper
Piece of Mind,5,Cross‐Eyed Mary
Piece of Mind,6,Still Life
Piece of Mind,6,Phatoor
Piece of Mind,7,Quest for Fire
Piece of Mind,8,Sun and Steel
Piece of Mind,9,To Tame a Land
Piece of Mind,9,Dune
Powerslave,1,Aces High
Powerslave,1,Rainbow's Gold
Powerslave,1,Rainbow’s Gold
Powerslave,2,2 Minutes to Midnight
Powerslave,2,Mission From 'Arry
Powerslave,2,Mission From ’Arry
Powerslave,3,Losfer Words (Big ’Orra)
Powerslave,3,Losfer Words (Big 'Orra)
Powerslave,3,King of Twilight
Powerslave,4,Flash of the Blade
Powerslave,5,The Duellists
Powerslave,6,Back in the Village
Powerslave,7,Powerslave
Powerslave,8,Rime of the Ancient Mariner
Senjutsu,1,Senjutsu
Senjutsu,1,Darkest Hour
Senjutsu,2,Stratego
Senjutsu,2,Death of the Celts
Senjutsu,3,The Writing on the Wall
Senjutsu,3,The Parchment
Senjutsu,4,Lost in a Lost World
Senjutsu,4,Hell on Earth
Senjutsu,5,Days of Future Past
Senjutsu,6,The Time Machine
Seventh Son of a Seventh Son,1,Moonchild
Seventh Son of a Seventh Son,1,Black Bart Blues
Seventh Son of a Seventh Son,2,Infinite Dreams
Seventh Son of a Seventh Son,2,Massacre
Seventh Son of a Seventh Son,3,Can I Play With Madness
Seventh Son of a Seventh Son,3,Prowler ’88
Seventh Son of a Seventh Son,4,The Evil That Men Do
Seventh Son of a Seventh Son,4,Charlotte the Harlot ’88
Seventh Son of a Seventh Son,5,Seventh Son of a Seventh Son
Seventh Son of a Seventh Son,6,The Prophecy
Seventh Son of a Seventh Son,7,The Clairvoyant
Seventh Son of a Seventh Son,7,Listen With Nicko! Part IX
Seventh Son of a Seventh Son,8,Only the Good Die Young
Somewhere in Time,1,Caught Somewhere in Time
Somewhere in Time,1,Reach Out
Somewhere in Time,2,Wasted Years
Somewhere in Time,2,Sheriff of Huddersfield
Somewhere in Time,3,Sea of Madness
Somewhere in Time,3,That Girl
Somewhere in Time,4,Heaven Can Wait
Somewhere in Time,4,Juanita
Somewhere in Time,5,The Loneliness of the Long Distance Runner
Somewhere in Time,6,Stranger in a Strange Land
Somewhere in Time,7,Deja-Vu
Somewhere in Time,7,Deja‐Vu
Somewhere in Time,7,Deja‐vu
Somewhere in Time,7,De Ja Vu
Somewhere in Time,8,Alexander the Great
Somewhere in Time,8,Alexander the Great (356-323 B.C.)
The Book of Souls,1,If Eternity Should Fail
The Book of Souls,1,Death or Glory
The Book of Souls,2,Speed of Light
The Book of Souls,2,Shadows of the Valley
The Book of Souls,3,The Great Unknown
The Book of Souls,3,Tears of a Clown
The Book of Souls,4,The Red and the Black
The Book of Souls,4,The Man of Sorrows
The Book of Souls,5,When the River Runs Deep
The Book of Souls,5,Empire of the Clouds
The Book of Souls,6,The Book of Souls
The Final Frontier,1,Satellite 15… The Final Frontier
The Final Frontier,1,Satellite 15... The Final Frontier
The Final Frontier,2,El Dorado
The Final Frontier,3,Mother of Mercy
The Final Frontier,4,Coming Home
The Final Frontier,5,The Alchemist
The Final Frontier,6,Isle of Avalon
The Final Frontier,7,Starblind
The Final Frontier,8,The Talisman
The Final Frontier,9,The Man Who Would Be King
The Final Frontier,10,When the Wild Wind Blows
The Number of the Beast,1,Invaders
The Number of the Beast,2,Children of the Damned
The Number of the Beast,3,The Prisoner
The Number of the Beast,4,22 Acacia Avenue
The Number of the Beast,5,The Number of the Beast
The Number of the Beast,6,Run to the Hills
The Number of the Beast,7,Gangland
The Number of the Beast,8,Hallowed Be Thy Name
The X Factor,1,Sign of the Cross
The X Factor,1,Justice of the Peace
The X Factor,2,Lord of the Flies
The X Factor,3,Man on the Edge
The X Factor,3,Judgement Day
The X Factor,4,Fortunes of War
The X Factor,5,Look for the Truth
The X Factor,6,The Aftermath
The X Factor,7,Judgement of Heaven
The X Factor,8,Blood on the World's Hands
The X Factor,9,The Edge of Darkness
The X Factor,10,2 A.M.
The X Factor,11,The Unbeliever
Virtual XI,1,Futureal
Virtual XI,1,When Two Worlds Collide
Virtual XI,2,The Angel and the Gambler
Virtual XI,2,The Educated Fool
Virtual XI,3,Lightning Strikes Twice
Virtual XI,3,Don't Look to the Eyes of a Stranger
Virtual XI,4,The Clansman
Virtual XI,4,Como Estais Amigos
Virtual XI,7,Don’t Look to the Eyes of a Stranger
Virtual XI,8,Como estais amigos
