,id,date,venue,city,country,latitude,longitude,tour
0,5bab838c,27-10-2024,Centre Vidéotron,Quebec City,Canada,46.812,-71.215,The Future Past
1,5bab8388,26-10-2024,Scotiabank Arena,Toronto,Canada,43.700113788,-79.416304194,The Future Past
2,43ab838b,24-10-2024,Allstate Arena,"Rosemont, IL",United States,41.9953077,-87.8845092,The Future Past
20,5bab8390,22-10-2024,Xcel Energy Center,"St. Paul, MN",United States,44.944,-93.093,The Future Past
38,4bab839e,19-10-2024,Ball Arena,"Denver, CO",United States,39.7391536,-104.9847034,The Future Past
56,5bab8398,18-10-2024,Delta Center,"Salt Lake City, UT",United States,40.7607794,-111.8910474,The Future Past
74,4bab839a,16-10-2024,Tacoma Dome,"Tacoma, WA",United States,47.2528769,-122.4442906,The Future Past
92,53ab83a5,14-10-2024,Moda Center,"Portland, OR",United States,45.5234515,-122.6762071,The Future Past
108,bab8146,12-10-2024,Discovery Park,"Sacramento, CA",United States,38.5815719,-121.4943996,The Future Past
126,4bab83a2,09-10-2024,Footprint Center,"Phoenix, AZ",United States,33.4483771,-112.0740373,The Future Past
144,43ab83af,08-10-2024,Kia Forum,"Inglewood, CA",United States,33.9616801,-118.3531311,The Future Past
162,43ab83ab,05-10-2024,Michelob ULTRA Arena,"Las Vegas, NV",United States,36.1749705,-115.137223,The Future Past
180,5bab83b0,04-10-2024,North Island Credit Union Amphitheatre,"Chula Vista, CA",United States,32.6400541,-117.0841955,The Future Past
198,1babe978,29-09-2024,PIA ARENA MM,Yokohama,Japan,35.45,139.65,The Future Past
216,babe97a,28-09-2024,PIA ARENA MM,Yokohama,Japan,35.45,139.65,The Future Past
234,7babee84,26-09-2024,TOKYO GARDEN THEATER,Tokyo,Japan,35.69,139.692,The Future Past
252,6babee86,24-09-2024,Osaka-jou Hall,Osaka,Japan,34.694,135.502,The Future Past
270,73abee81,22-09-2024,Sky Hall Toyota,Toyota,Japan,35.0833333,137.15,The Future Past
288,4bab83be,16-09-2024,Spark Arena,Auckland,New Zealand,-36.8666667,174.7666667,The Future Past
