id,date,venue,city,country,latitude,longitude,tour,setlist
5bab838c,27-10-2024,Centre Vidéotron,Quebec City,Canada,46.812,-71.215,The Future Past,<br>
5bab8388,26-10-2024,Scotiabank Arena,Toronto,Canada,43.700113788,-79.416304194,The Future Past,<br>
43ab838b,24-10-2024,Allstate Arena,"Rosemont, IL",United States,41.9953077,-87.8845092,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
5bab8390,22-10-2024,Xcel Energy Center,"St. Paul, MN",United States,44.944,-93.093,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
4bab839e,19-10-2024,Ball Arena,"Denver, CO",United States,39.7391536,-104.9847034,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
5bab8398,18-10-2024,Delta Center,"Salt Lake City, UT",United States,40.7607794,-111.8910474,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
4bab839a,16-10-2024,Tacoma Dome,"Tacoma, WA",United States,47.2528769,-122.4442906,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
53ab83a5,14-10-2024,Moda Center,"Portland, OR",United States,45.5234515,-122.6762071,The Future Past,"Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>"
bab8146,12-10-2024,Discovery Park,"Sacramento, CA",United States,38.5815719,-121.4943996,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
4bab83a2,09-10-2024,Footprint Center,"Phoenix, AZ",United States,33.4483771,-112.0740373,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
