concert_id,venue_id,city_id,date,tour
53dbefc1,3d6d1d3,2643743,03-09-2003,TV Appearance
53d93f95,3d6d1d3,2643743,21-03-2002,TV Appearance
43dbefc7,3d6d1d3,2643743,19-05-2000,TV Appearance
7399ce4d,1bd6c1e4,2673730,29-03-1998,TV Appearance
33f45cf9,1bd5814c,2947416,20-08-1986,TV Appearance
1bd0913c,bd761da,3088171,11-08-1984,After-Show Appearance 
6bd7120e,73d29e79,2643743,01-01-1981,TV Appearance
38d2977,3d6d1d3,2643743,20-02-1980,TV Appearance
7bc6b618,7bd5323c,2649808,10-12-1979,Iron Maiden Tour 1979
3da35e3,6bd6366a,2643743,09-12-1979,Iron Maiden Tour 1979
73c6b619,2bd66c0a,2654675,08-12-1979,Iron Maiden Tour 1979
6bc6b61a,3d60db7,2643743,07-12-1979,Iron Maiden Tour 1979
63c6b61b,73d66211,2636388,04-12-1979,Iron Maiden Tour 1979
7bc6b624,73d49a9d,2643743,03-12-1979,Iron Maiden Tour 1979
73c6b625,bd41112,2650346,01-12-1979,Iron Maiden Tour 1979
6bc6b626,43d4d72f,2642607,30-11-1979,Iron Maiden Tour 1979
63c6b627,63d4b2bb,2634740,24-11-1979,Iron Maiden Tour 1979
73c6b621,6bd49aa6,2655613,23-11-1979,Iron Maiden Tour 1979
6bc6b622,1bd275fc,2643743,19-11-1979,Iron Maiden Tour 1979
63c6b623,63d49a9f,2644210,17-11-1979,Iron Maiden Tour 1979
13da35d9,2bd65892,2654200,16-11-1979,Iron Maiden Tour 1979
13dda9dd,6bd6d282,2643743,14-11-1979,Iron Maiden Tour 1979
7bc6b62c,7bd49a98,2655603,12-11-1979,Iron Maiden Tour 1979
73c6b62d,3d2759f,2636616,10-11-1979,Iron Maiden Tour 1979
6bc6b62e,7bd49aa4,2639989,09-11-1979,Iron Maiden Tour 1979
13da35e1,3d63137,2643743,05-11-1979,Iron Maiden Tour 1979
3f559e7,33d7a4cd,2644210,03-11-1979,Iron Maiden Tour 1979
63c6b62f,5bd5237c,2655459,02-11-1979,Iron Maiden Tour 1979
73c6b629,73d49a99,2657832,01-11-1979,Iron Maiden Tour 1979
3f559e3,43d77beb,2643743,29-10-1979,Iron Maiden Tour 1979
63c6b62b,13d70179,3345283,27-10-1979,Iron Maiden Tour 1979
73c6b635,7bd49aa4,2639989,26-10-1979,Iron Maiden Tour 1979
6bc6b636,6bd6366a,2643743,19-10-1979,Iron Maiden Tour 1979
7bc6b630,73d71605,2643123,13-10-1979,Iron Maiden Tour 1979
73c6b631,bd65946,2641700,12-10-1979,Iron Maiden Tour 1979
73d7bea9,bd6d1c2,2643743,10-10-1979,Iron Maiden Tour 1979
6bc6b63e,33d6c461,2641170,06-10-1979,Iron Maiden Tour 1979
7bd28648,bd6d1c2,2643743,05-10-1979,Iron Maiden Tour 1979
7bc6b638,23d20c23,2643743,04-10-1979,Iron Maiden Tour 1979
73c6b639,23d20c23,2643743,03-10-1979,Iron Maiden Tour 1979
6bc6b63a,3d63137,2643743,30-09-1979,Iron Maiden Tour 1979
63c6b63b,6bd7f21e,2633691,28-09-1979,Iron Maiden Tour 1979
73c6b645,63d49a9b,2656195,27-09-1979,Iron Maiden Tour 1979
bda35d6,bd6d1c2,2643743,15-09-1979,Iron Maiden Tour 1979
7bc6b640,43d77beb,2643743,14-09-1979,Iron Maiden Tour 1979
6bd7beaa,3d63137,2643743,10-09-1979,Iron Maiden Tour 1979
73c6b641,7bd7ba20,2643743,08-09-1979,Iron Maiden Tour 1979
6bc6b642,bd6d1c2,2643743,07-09-1979,Iron Maiden Tour 1979
13f559f9,3d63137,2643743,03-09-1979,Iron Maiden Tour 1979
7bc6b64c,13d70179,3345283,01-09-1979,Iron Maiden Tour 1979
73c6b64d,7bd49aa4,2639989,31-08-1979,Iron Maiden Tour 1979
6bc6b64e,7bd37a64,2636432,30-08-1979,Iron Maiden Tour 1979
63c6b64f,bd6d1c2,2643743,25-08-1979,Iron Maiden Tour 1979
