"concert_id","date","venue","city","latitude","longitude","country","tour","song_name"
"5bab838c","27-10-2024","Centre Vidéotron","Quebec City",46.812,-71.215,"Canada","The Future Past","NA"
"5bab8388","26-10-2024","Scotiabank Arena","Toronto",43.700113788,-79.416304194,"Canada","The Future Past","NA"
"43ab838b","24-10-2024","Allstate Arena","Rosemont, IL",41.9953077,-87.8845092,"United States","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"5bab8390","22-10-2024","Xcel Energy Center","St. Paul, MN",44.944,-93.093,"United States","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"4bab839e","19-10-2024","Ball Arena","Denver, CO",39.7391536,-104.9847034,"United States","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"5bab8398","18-10-2024","Delta Center","Salt Lake City, UT",40.7607794,-111.8910474,"United States","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"4bab839a","16-10-2024","Tacoma Dome","Tacoma, WA",47.2528769,-122.4442906,"United States","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"53ab83a5","14-10-2024","Moda Center","Portland, OR",45.5234515,-122.6762071,"United States","The Future Past","1. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>2. Caught Somewhere in Time<br>3. Stranger in a Strange Land<br>4. The Writing on the Wall<br>5. Days of Future Past<br>6. The Time Machine<br>7. The Prisoner<br>8. Death of the Celts<br>9. Can I Play With Madness<br>10. Heaven Can Wait<br>11. Alexander the Great<br>12. Fear of the Dark<br>13. Iron Maiden<br>14. Hell on Earth<br>15. The Trooper<br>16. Wasted Years"
"bab8146","12-10-2024","Discovery Park","Sacramento, CA",38.5815719,-121.4943996,"United States","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"4bab83a2","09-10-2024","Footprint Center","Phoenix, AZ",33.4483771,-112.0740373,"United States","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"43ab83af","08-10-2024","Kia Forum","Inglewood, CA",33.9616801,-118.3531311,"United States","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"43ab83ab","05-10-2024","Michelob ULTRA Arena","Las Vegas, NV",36.1749705,-115.137223,"United States","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"5bab83b0","04-10-2024","North Island Credit Union Amphitheatre","Chula Vista, CA",32.6400541,-117.0841955,"United States","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"1babe978","29-09-2024","PIA ARENA MM","Yokohama",35.45,139.65,"Japan","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"babe97a","28-09-2024","PIA ARENA MM","Yokohama",35.45,139.65,"Japan","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"7babee84","26-09-2024","TOKYO GARDEN THEATER","Tokyo",35.69,139.692,"Japan","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"6babee86","24-09-2024","Osaka-jou Hall","Osaka",34.694,135.502,"Japan","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"73abee81","22-09-2024","Sky Hall Toyota","Toyota",35.0833333,137.15,"Japan","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"4bab83be","16-09-2024","Spark Arena","Auckland",-36.8666667,174.7666667,"New Zealand","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
